# Sample Bank onboarding dataset — atm_operations (docs/data_engine/datasets/atm_operations.md).
# One row per (month, atm_id); 44 terminals x 12 reporting months (2025-07 .. 2026-06). Push ONE month per
# batch with as_of_date = that month-end (the per-month files atm_operations_YYYY-MM.csv are the push units).
# Amounts in cedis; cards_issued = new cards issued at the station in the month. Illustrative, not real bank data.
month,atm_id,station,region,branch_code,cards_issued,cards_active,min_withdrawal_ghs,max_withdrawal_ghs,txn_count,txn_value_ghs,cash_dispensed_ghs,downtime_hours,notes
2025-07-31,ATM-012,Achimota Retail Centre,Greater Accra,BR009,62,1626,10,2000,3060,1379841.41,1360434.33,5.5,
2025-07-31,ATM-013,Kaneshie Market,Greater Accra,BR010,83,3964,20,5000,8102,3629255.83,3618385.14,1.3,
2025-07-31,ATM-014,Dansoman,Greater Accra,BR011,81,1681,20,2000,4018,1561740.00,1560247.87,5.4,
2025-07-31,ATM-015,Weija,Greater Accra,BR012,52,655,20,2000,1351,605262.91,600938.83,4.2,
2025-07-31,ATM-016,Kasoa,Central,BR013,63,1491,10,5000,3416,1633403.23,1623783.05,8.4,
2025-07-31,ATM-017,Ridge — Ministries,Greater Accra,BR014,44,1600,10,2000,3505,1561334.63,1545858.95,8.8,
2025-07-31,ATM-018,Circle — Kwame Nkrumah Interchange,Greater Accra,BR015,83,4048,10,2000,6685,2273503.75,2245898.48,0.0,
2025-07-31,ATM-019,Kumasi Adum,Ashanti,BR020,116,3836,10,2000,6408,2023182.83,2016699.83,7.8,
2025-07-31,ATM-020,Kumasi Kejetia,Ashanti,BR021,104,3760,20,2000,6885,2279386.60,2264925.90,13.4,
2025-07-31,ATM-021,Kumasi KNUST Campus,Ashanti,BR022,167,4064,10,2000,7363,2802348.39,2767626.27,5.2,
2025-07-31,ATM-022,Kumasi Asafo,Ashanti,BR023,118,1796,10,2000,3649,1216758.42,1205892.37,7.8,
2025-07-31,ATM-023,Kumasi Suame Magazine,Ashanti,BR024,111,1614,10,2000,3561,1744285.91,1719398.80,1.2,
2025-07-31,ATM-024,Kumasi Ahodwo,Ashanti,BR025,53,654,10,2000,1406,612899.20,609073.55,6.7,
2025-07-31,ATM-025,Obuasi,Ashanti,BR026,93,1628,20,2000,3943,1748158.11,1734756.19,5.1,
2025-07-31,ATM-026,Ejisu,Ashanti,BR027,54,776,20,1000,1344,532468.00,527747.37,28.3,extended outage: link / power failure
2025-07-31,ATM-027,Konongo,Ashanti,BR028,33,792,50,2000,1704,605701.53,601063.97,20.5,
2025-07-31,ATM-028,Takoradi Market Circle,Western,BR030,49,3731,20,2000,6782,2296798.00,2278304.54,6.6,
2025-07-31,ATM-029,Takoradi Harbour,Western,BR031,88,1557,10,3000,3207,1185511.70,1178615.86,6.5,
2025-07-31,ATM-030,Tarkwa,Western,BR032,37,1819,10,2000,3172,1397526.82,1378116.09,6.2,
2025-07-31,ATM-031,Sekondi,Western,BR033,42,694,10,1000,1719,542316.71,537736.26,13.1,
2025-07-31,ATM-032,Cape Coast — UCC Campus,Central,BR035,63,1455,20,3000,3066,890395.93,885106.66,10.6,
2025-07-31,ATM-033,Cape Coast Kotokuraba,Central,BR036,77,1800,20,2000,3740,1912804.26,1898066.06,12.5,
2025-07-31,ATM-034,Koforidua,Eastern,BR040,101,1644,50,5000,3720,1133142.09,1130520.46,8.5,
2025-07-31,ATM-035,Nkawkaw,Eastern,BR041,55,737,10,2000,1534,656882.29,656282.49,5.9,
2025-07-31,ATM-036,Akosombo,Eastern,BR042,50,703,50,1000,1423,516315.29,510662.31,19.3,
2025-07-31,ATM-037,Ho,Volta,BR045,57,1721,20,2000,3643,1711992.07,1710150.60,1.3,
2025-07-31,ATM-038,Aflao Border,Volta,BR046,45,757,10,2000,1655,583622.71,577942.38,15.8,
2025-07-31,ATM-039,Tamale Central,Northern,BR050,42,1531,10,5000,3801,1748678.87,1728817.01,0.4,
2025-07-31,ATM-040,Tamale — UDS Campus,Northern,BR051,40,1563,10,5000,3492,1194794.51,1189516.10,0.0,
2025-07-31,ATM-041,Sunyani,Bono,BR055,65,1663,20,5000,3097,1169624.23,1155937.49,3.4,
2025-07-31,ATM-042,Techiman Market,Bono East,BR056,71,1753,10,2000,3856,1673923.65,1661696.36,6.9,
2025-07-31,ATM-043,Bolgatanga,Upper East,BR060,17,772,10,1000,1657,555386.85,550492.58,2.9,
2025-07-31,ATM-044,Wa,Upper West,BR065,58,652,20,2000,1571,814489.08,813483.28,0.0,
2025-08-31,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,158,3934,10,3000,7677,3099540.50,3053654.74,16.2,
2025-08-31,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,50,3737,50,5000,8496,2404940.99,2376209.27,3.0,
2025-08-31,ATM-003,Osu Oxford Street,Greater Accra,BR002,148,4230,20,2000,7564,2807784.88,2774764.08,5.1,
2025-08-31,ATM-004,Accra Mall,Greater Accra,BR003,92,4029,10,5000,6881,2381888.87,2348463.55,5.4,
2025-08-31,ATM-005,Kotoka International Airport,Greater Accra,BR003,80,1669,50,2000,4020,1835188.79,1820316.71,4.7,
2025-08-31,ATM-006,Madina Market,Greater Accra,BR004,152,3888,50,5000,7847,2735188.94,2718465.17,11.4,
2025-08-31,ATM-007,Legon — University of Ghana,Greater Accra,BR005,50,3867,20,2000,8944,3406035.79,3384024.61,0.5,
2025-08-31,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,119,1910,50,2000,3639,1160322.80,1152666.17,6.3,
2025-08-31,ATM-009,Spintex Road,Greater Accra,BR007,37,1608,10,5000,3826,1538031.82,1525344.51,0.0,
2025-08-31,ATM-010,Tema Community 1,Greater Accra,BR008,62,3952,50,5000,8907,4292260.11,4273932.92,5.6,
2025-08-31,ATM-011,Tema Harbour,Greater Accra,BR008,91,1860,10,3000,3527,1283294.16,1279649.95,8.2,
2025-08-31,ATM-012,Achimota Retail Centre,Greater Accra,BR009,39,1777,50,3000,3703,1167583.59,1165039.85,7.1,
2025-08-31,ATM-013,Kaneshie Market,Greater Accra,BR010,163,4056,10,5000,7653,3882922.14,3869641.55,7.6,
2025-08-31,ATM-014,Dansoman,Greater Accra,BR011,81,1714,10,3000,3367,1629700.66,1615410.63,5.5,
2025-08-31,ATM-015,Weija,Greater Accra,BR012,35,703,10,1000,1385,526992.01,522677.71,10.6,
2025-08-31,ATM-016,Kasoa,Central,BR013,53,1543,50,2000,4063,1300258.87,1294108.06,2.2,
2025-08-31,ATM-017,Ridge — Ministries,Greater Accra,BR014,59,1649,20,3000,3449,1074233.72,1068875.93,0.0,
2025-08-31,ATM-018,Circle — Kwame Nkrumah Interchange,Greater Accra,BR015,54,4206,10,5000,8276,3842178.41,3834971.83,8.1,
2025-08-31,ATM-019,Kumasi Adum,Ashanti,BR020,143,4018,20,5000,7040,3337096.60,3289245.88,2.3,
2025-08-31,ATM-020,Kumasi Kejetia,Ashanti,BR021,73,4014,10,2000,6735,3187731.30,3155599.98,3.7,
2025-08-31,ATM-021,Kumasi KNUST Campus,Ashanti,BR022,50,4127,20,2000,7727,3702683.77,3667578.00,11.4,
2025-08-31,ATM-022,Kumasi Asafo,Ashanti,BR023,40,1837,10,2000,4274,1675737.31,1675367.74,11.3,
2025-08-31,ATM-023,Kumasi Suame Magazine,Ashanti,BR024,32,1714,50,3000,3986,1974895.66,1963337.84,6.5,
2025-08-31,ATM-024,Kumasi Ahodwo,Ashanti,BR025,25,692,20,2000,1491,699123.74,697862.72,1.5,
2025-08-31,ATM-025,Obuasi,Ashanti,BR026,59,1660,10,3000,4048,1269932.72,1253946.01,9.5,
2025-08-31,ATM-026,Ejisu,Ashanti,BR027,41,843,20,2000,1580,753127.62,751854.61,7.1,
2025-08-31,ATM-027,Konongo,Ashanti,BR028,21,874,50,2000,1487,679907.93,670469.69,0.0,
2025-08-31,ATM-028,Takoradi Market Circle,Western,BR030,101,3827,20,2000,6696,2818771.61,2803159.69,1.8,
2025-08-31,ATM-029,Takoradi Harbour,Western,BR031,107,1604,20,2000,3344,1491675.42,1469320.89,3.2,
2025-08-31,ATM-030,Tarkwa,Western,BR032,57,1884,10,2000,4241,1506323.11,1499129.68,5.2,
2025-08-31,ATM-031,Sekondi,Western,BR033,30,778,20,1000,1756,717935.49,714356.00,13.9,
2025-08-31,ATM-032,Cape Coast — UCC Campus,Central,BR035,62,1551,10,5000,4305,2171339.76,2142558.11,1.4,
2025-08-31,ATM-033,Cape Coast Kotokuraba,Central,BR036,97,1953,10,5000,3630,1179648.96,1162200.60,9.0,
2025-08-31,ATM-034,Koforidua,Eastern,BR040,117,1724,20,2000,3735,1763754.26,1760921.13,2.8,
2025-08-31,ATM-035,Nkawkaw,Eastern,BR041,58,811,20,1000,1761,810029.47,798104.10,1.3,
2025-08-31,ATM-036,Akosombo,Eastern,BR042,24,750,50,1000,1695,538036.38,533959.25,3.6,
2025-08-31,ATM-037,Ho,Volta,BR045,98,1783,50,3000,3379,1082883.10,1070579.32,3.2,
2025-08-31,ATM-038,Aflao Border,Volta,BR046,15,776,50,1000,1443,462564.41,457617.59,8.5,
2025-08-31,ATM-039,Tamale Central,Northern,BR050,115,1656,50,2000,3334,1287006.28,1274283.73,0.3,
2025-08-31,ATM-040,Tamale — UDS Campus,Northern,BR051,86,1706,10,2000,4316,1258606.16,1244207.17,4.0,
2025-08-31,ATM-041,Sunyani,Bono,BR055,102,1772,10,2000,3647,1228430.19,1210470.56,14.6,
2025-08-31,ATM-042,Techiman Market,Bono East,BR056,113,1844,20,5000,3613,1297175.95,1291263.39,1.4,
2025-08-31,ATM-043,Bolgatanga,Upper East,BR060,27,808,20,1000,1747,554407.86,550883.28,15.1,
2025-08-31,ATM-044,Wa,Upper West,BR065,32,692,50,2000,1498,461429.12,455864.08,3.5,
2025-09-30,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,66,4034,20,2000,7821,3389251.84,3363862.45,5.2,
2025-09-30,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,195,3949,20,2000,7033,2661104.74,2631297.28,12.1,
2025-09-30,ATM-003,Osu Oxford Street,Greater Accra,BR002,179,4388,10,2000,6911,2491043.19,2470989.44,1.3,
2025-09-30,ATM-004,Accra Mall,Greater Accra,BR003,135,4264,10,2000,8710,3858343.66,3813078.95,7.3,
2025-09-30,ATM-005,Kotoka International Airport,Greater Accra,BR003,129,1779,20,2000,3400,1274246.24,1273109.73,0.0,
2025-09-30,ATM-006,Madina Market,Greater Accra,BR004,95,3993,10,3000,8305,3210471.95,3169642.52,4.0,
2025-09-30,ATM-007,Legon — University of Ghana,Greater Accra,BR005,127,4069,10,5000,7407,2835761.31,2828255.82,6.7,
2025-09-30,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,83,1969,10,2000,3447,1541125.71,1522406.97,6.7,
2025-09-30,ATM-009,Spintex Road,Greater Accra,BR007,61,1771,20,3000,3897,2008149.98,1988516.27,6.9,
2025-09-30,ATM-010,Tema Community 1,Greater Accra,BR008,174,4201,50,2000,8914,2880100.26,2875414.54,12.1,
2025-09-30,ATM-011,Tema Harbour,Greater Accra,BR008,36,1984,20,5000,4054,1198196.93,1195095.24,7.6,
2025-09-30,ATM-012,Achimota Retail Centre,Greater Accra,BR009,122,1870,50,2000,4241,1821473.23,1818097.77,8.6,
2025-09-30,ATM-013,Kaneshie Market,Greater Accra,BR010,61,4151,20,2000,8302,3202548.72,3164719.31,1.2,
2025-09-30,ATM-014,Dansoman,Greater Accra,BR011,63,1880,20,5000,3990,1926494.68,1918897.20,5.8,
2025-09-30,ATM-015,Weija,Greater Accra,BR012,55,791,10,1000,1632,457323.21,456875.25,15.1,
2025-09-30,ATM-016,Kasoa,Central,BR013,33,1623,50,2000,3763,1820471.29,1816307.55,10.2,
2025-09-30,ATM-017,Ridge — Ministries,Greater Accra,BR014,129,1688,10,2000,3525,1804729.58,1795677.63,15.8,
2025-09-30,ATM-018,Circle — Kwame Nkrumah Interchange,Greater Accra,BR015,91,4294,10,2000,8841,4452484.86,4398422.14,11.0,
2025-09-30,ATM-019,Kumasi Adum,Ashanti,BR020,107,4201,20,2000,8440,3606401.40,3582205.14,8.0,
2025-09-30,ATM-020,Kumasi Kejetia,Ashanti,BR021,129,4112,20,3000,7039,2880201.48,2843785.51,12.6,
2025-09-30,ATM-021,Kumasi KNUST Campus,Ashanti,BR022,174,4369,20,5000,6734,2948546.78,2946539.19,7.8,
2025-09-30,ATM-022,Kumasi Asafo,Ashanti,BR023,44,1948,20,3000,3624,1724441.93,1724329.37,6.9,
2025-09-30,ATM-023,Kumasi Suame Magazine,Ashanti,BR024,130,1796,20,3000,3547,1008380.66,1004847.60,11.3,
2025-09-30,ATM-024,Kumasi Ahodwo,Ashanti,BR025,52,762,20,1000,1778,597088.93,589944.95,12.4,
2025-09-30,ATM-025,Obuasi,Ashanti,BR026,41,1701,10,3000,3904,1566299.60,1550702.68,1.8,
2025-09-30,ATM-026,Ejisu,Ashanti,BR027,25,921,50,2000,1749,605767.61,599531.34,17.9,
2025-09-30,ATM-027,Konongo,Ashanti,BR028,31,928,50,1000,1719,893691.36,880833.59,0.0,
2025-09-30,ATM-028,Takoradi Market Circle,Western,BR030,121,4054,50,2000,6897,2569563.69,2546350.86,10.6,
2025-09-30,ATM-029,Takoradi Harbour,Western,BR031,118,1660,50,2000,3282,938278.68,935959.58,2.9,
2025-09-30,ATM-030,Tarkwa,Western,BR032,110,2007,10,5000,4174,1256934.19,1251501.61,11.8,
2025-09-30,ATM-031,Sekondi,Western,BR033,28,829,20,1000,1739,729631.53,729122.96,8.5,
2025-09-30,ATM-032,Cape Coast — UCC Campus,Central,BR035,98,1679,20,2000,3775,1867248.74,1847038.62,4.4,
2025-09-30,ATM-033,Cape Coast Kotokuraba,Central,BR036,59,2115,50,2000,3398,1457621.34,1451312.30,1.0,
2025-09-30,ATM-034,Koforidua,Eastern,BR040,94,1864,20,2000,3449,1772811.79,1750110.65,6.9,
2025-09-30,ATM-035,Nkawkaw,Eastern,BR041,43,891,10,1000,1460,588735.01,587853.12,4.9,
2025-09-30,ATM-036,Akosombo,Eastern,BR042,58,789,20,1000,1641,745152.56,740362.69,17.6,
2025-09-30,ATM-037,Ho,Volta,BR045,111,1961,20,2000,4044,1607937.39,1598399.38,8.8,
2025-09-30,ATM-038,Aflao Border,Volta,BR046,42,822,50,2000,1548,646617.84,640633.14,4.5,
2025-09-30,ATM-039,Tamale Central,Northern,BR050,124,1699,20,3000,3850,1444476.90,1440522.76,0.0,
2025-09-30,ATM-040,Tamale — UDS Campus,Northern,BR051,94,1841,10,5000,4277,2058492.90,2048122.90,4.5,
2025-09-30,ATM-041,Sunyani,Bono,BR055,65,1803,10,2000,4312,2061636.41,2043314.47,14.8,
2025-09-30,ATM-042,Techiman Market,Bono East,BR056,75,1997,20,3000,3520,1411957.62,1396929.01,13.9,
2025-09-30,ATM-043,Bolgatanga,Upper East,BR060,36,831,10,2000,1586,528164.84,525579.17,0.0,
2025-09-30,ATM-044,Wa,Upper West,BR065,34,708,10,2000,1500,514600.11,512087.17,17.3,
2025-10-31,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,98,4202,20,2000,8226,2481233.47,2465346.61,0.0,
2025-10-31,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,157,4119,20,2000,7423,2445801.73,2432138.60,3.4,
2025-10-31,ATM-003,Osu Oxford Street,Greater Accra,BR002,93,4574,20,2000,6894,3540325.74,3535697.09,9.1,
2025-10-31,ATM-004,Accra Mall,Greater Accra,BR003,128,4328,10,2000,8366,3955389.15,3947025.81,5.7,
2025-10-31,ATM-005,Kotoka International Airport,Greater Accra,BR003,117,1823,10,3000,3947,1414693.46,1402200.60,7.4,
2025-10-31,ATM-006,Madina Market,Greater Accra,BR004,124,4259,10,2000,7039,3183882.08,3157582.41,12.2,
2025-10-31,ATM-007,Legon — University of Ghana,Greater Accra,BR005,149,4123,10,5000,8382,4285303.47,4233231.48,1.6,
2025-10-31,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,61,2092,10,2000,3845,1334450.07,1314879.67,4.7,
2025-10-31,ATM-009,Spintex Road,Greater Accra,BR007,103,1924,20,2000,3979,1145229.29,1141047.01,9.1,
2025-10-31,ATM-010,Tema Community 1,Greater Accra,BR008,131,4413,20,2000,8239,2585722.62,2569712.82,7.1,
2025-10-31,ATM-011,Tema Harbour,Greater Accra,BR008,106,2040,50,2000,3530,1149003.18,1139420.68,0.0,
2025-10-31,ATM-012,Achimota Retail Centre,Greater Accra,BR009,100,1986,10,2000,3370,1665609.23,1661272.65,0.0,
2025-10-31,ATM-013,Kaneshie Market,Greater Accra,BR010,105,4420,20,2000,7019,2196582.09,2194756.26,9.0,
2025-10-31,ATM-014,Dansoman,Greater Accra,BR011,109,1980,50,5000,3539,1312906.24,1304805.22,6.6,
2025-10-31,ATM-015,Weija,Greater Accra,BR012,21,826,10,1000,1544,497625.31,490272.30,16.4,
2025-10-31,ATM-016,Kasoa,Central,BR013,32,1672,20,5000,3327,1131009.21,1119810.25,6.5,
2025-10-31,ATM-017,Ridge — Ministries,Greater Accra,BR014,30,1808,10,5000,4011,1146572.62,1142633.89,2.6,
2025-10-31,ATM-018,Circle — Kwame Nkrumah Interchange,Greater Accra,BR015,133,4404,10,3000,6638,2498562.57,2498214.56,9.5,
2025-10-31,ATM-019,Kumasi Adum,Ashanti,BR020,158,4298,10,5000,6433,1827668.73,1811180.63,4.7,
2025-10-31,ATM-020,Kumasi Kejetia,Ashanti,BR021,89,4215,50,2000,7944,3039895.96,3030411.61,10.8,
2025-10-31,ATM-021,Kumasi KNUST Campus,Ashanti,BR022,150,4587,20,2000,8616,3853016.82,3824617.45,6.4,
2025-10-31,ATM-022,Kumasi Asafo,Ashanti,BR023,109,1981,20,2000,4081,1648672.54,1625460.66,1.5,
2025-10-31,ATM-023,Kumasi Suame Magazine,Ashanti,BR024,47,1973,10,3000,3955,1276082.09,1265393.51,10.0,
2025-10-31,ATM-024,Kumasi Ahodwo,Ashanti,BR025,22,784,50,2000,1630,754752.96,743611.22,27.4,extended outage: link / power failure
2025-10-31,ATM-025,Obuasi,Ashanti,BR026,52,1755,10,2000,4129,1878139.35,1872433.03,0.5,
2025-10-31,ATM-026,Ejisu,Ashanti,BR027,52,957,50,2000,1418,703719.65,696824.55,15.8,
2025-10-31,ATM-027,Konongo,Ashanti,BR028,29,1002,20,1000,1348,480048.55,476731.68,0.0,
2025-10-31,ATM-028,Takoradi Market Circle,Western,BR030,106,4267,10,3000,7020,3127306.48,3090462.16,1.2,
2025-10-31,ATM-029,Takoradi Harbour,Western,BR031,69,1772,10,2000,3544,1237783.17,1224971.34,6.8,
2025-10-31,ATM-030,Tarkwa,Western,BR032,56,2126,10,2000,3114,1058783.83,1056836.67,0.0,
2025-10-31,ATM-031,Sekondi,Western,BR033,48,865,20,2000,1412,637821.13,631002.22,0.0,
2025-10-31,ATM-032,Cape Coast — UCC Campus,Central,BR035,101,1831,20,2000,3210,1335056.62,1331665.87,12.1,
2025-10-31,ATM-033,Cape Coast Kotokuraba,Central,BR036,119,2290,10,5000,3821,1086721.08,1075932.14,2.2,
2025-10-31,ATM-034,Koforidua,Eastern,BR040,64,2031,20,2000,4003,1738406.61,1735043.83,12.7,
2025-10-31,ATM-035,Nkawkaw,Eastern,BR041,41,941,10,1000,1533,534321.60,530867.77,10.1,
2025-10-31,ATM-036,Akosombo,Eastern,BR042,51,860,20,2000,1373,390347.93,387701.35,8.3,
2025-10-31,ATM-037,Ho,Volta,BR045,62,2138,10,5000,3126,912515.83,907231.34,5.7,
2025-10-31,ATM-038,Aflao Border,Volta,BR046,36,868,10,2000,1666,533258.11,527300.69,6.9,
2025-10-31,ATM-039,Tamale Central,Northern,BR050,96,1792,50,5000,3324,1182274.01,1181224.62,9.8,
2025-10-31,ATM-040,Tamale — UDS Campus,Northern,BR051,32,1959,10,2000,3331,1599813.30,1594678.48,12.4,
2025-10-31,ATM-041,Sunyani,Bono,BR055,89,1878,10,2000,3316,1017193.17,1008028.15,4.7,
2025-10-31,ATM-042,Techiman Market,Bono East,BR056,30,2132,20,2000,4120,1802208.87,1800990.80,4.4,
2025-10-31,ATM-043,Bolgatanga,Upper East,BR060,47,912,50,2000,1584,451987.46,451114.91,16.6,
2025-10-31,ATM-044,Wa,Upper West,BR065,32,724,20,2000,1290,377631.48,372961.50,0.0,
2025-11-30,ATM-001,Head Office — Independence Avenue,Greater Accra,BR001,75,4262,10,2000,7321,3035136.50,2990665.83,5.3,
2025-11-30,ATM-002,Head Office — Independence Avenue (lobby 2),Greater Accra,BR001,176,4232,10,2000,8613,4406626.86,4405881.73,4.8,
2025-11-30,ATM-003,Osu Oxford Street,Greater Accra,BR002,130,4750,20,5000,6466,2707991.48,2706387.74,0.0,
2025-11-30,ATM-004,Accra Mall,Greater Accra,BR003,150,4549,50,2000,6463,3191706.44,3190306.40,10.4,
2025-11-30,ATM-005,Kotoka International Airport,Greater Accra,BR003,109,1854,10,5000,4132,2020427.05,2008600.92,4.6,
2025-11-30,ATM-006,Madina Market,Greater Accra,BR004,129,4373,20,3000,6830,2473074.59,2472331.98,3.0,
2025-11-30,ATM-007,Legon — University of Ghana,Greater Accra,BR005,55,4235,50,3000,7582,2627041.76,2599459.45,1.8,
2025-11-30,ATM-008,East Legon — Lagos Avenue,Greater Accra,BR006,46,2220,20,5000,3192,1621551.93,1619630.59,3.7,
2025-11-30,ATM-009,Spintex Road,Greater Accra,BR007,97,2062,10,5000,3083,986047.41,977760.67,1.5,
2025-11-30,ATM-010,Tema Community 1,Greater Accra,BR008,137,4634,20,3000,7952,3015507.35,3009988.11,5.9,
2025-11-30,ATM-011,Tema Harbour,Greater Accra,BR008,85,2210,20,2000,4103,1375835.25,1364819.30,9.1,
2025-11-30,ATM-012,Achimota Retail Centre,Greater Accra,BR009,95,2090,10,2000,3152,1275427.48,1271310.31,8.2,
2025-11-30,ATM-013,Kaneshie Market,Greater Accra,BR010,54,4568,20,2000,8385,3688701.49,3681299.46,6.9,
2025-11-30,ATM-014,Dansoman,Greater Accra,BR011,68,2147,10,2000,3920,1941615.56,1929138.82,1.9,
2025-11-30,ATM-015,Weija,Greater Accra,BR012,17,913,20,2000,1371,572628.43,564108.13,8.2,
2025-11-30,ATM-016,Kasoa,Central,BR013,35,1825,20,2000,3753,1696846.28,1685183.21,6.5,
2025-11-30,ATM-017,Ridge — Ministries,Greater Accra,BR014,118,1983,10,2000,3960,1834285.92,1820198.59,14.4,
2025-11-30,ATM-018,Circle — Kwame Nkrumah Interchange,Greater Accra,BR015,157,4455,10,2000,7260,3664494.28,3633228.23,9.8,
2025-11-30,ATM-019,Kumasi Adum,Ashanti,BR020,101,4519,10,2000,6971,2310977.46,2287265.10,9.5,
2025-11-30,ATM-020,Kumasi Kejetia,Ashanti,BR021,110,4389,10,5000,8555,2835766.67,2795601.59,5.1,
2025-11-30,ATM-021,Kumasi KNUST Campus,Ashanti,BR022,92,4801,20,2000,7430,2601853.71,2565117.77,7.1,
2025-11-30,ATM-022,Kumasi Asafo,Ashanti,BR023,110,2069,20,5000,3075,1038512.46,1027455.79,13.3,
2025-11-30,ATM-023,Kumasi Suame Magazine,Ashanti,BR024,72,2126,10,2000,3184,1081384.98,1077068.96,9.7,
2025-11-30,ATM-024,Kumasi Ahodwo,Ashanti,BR025,44,808,50,2000,1528,524286.26,522736.99,13.4,
2025-11-30,ATM-025,Obuasi,Ashanti,BR026,114,1818,10,2000,3716,1663132.36,1654517.78,11.5,
2025-11-30,ATM-026,Ejisu,Ashanti,BR027,33,983,20,1000,1609,526535.75,520975.63,24.8,extended outage: link / power failure
2025-11-30,ATM-027,Konongo,Ashanti,BR028,44,1029,50,2000,1477,536965.18,533482.67,6.7,
2025-11-30,ATM-028,Takoradi Market Circle,Western,BR030,105,4376,20,2000,6538,1994442.49,1967619.35,0.0,
2025-11-30,ATM-029,Takoradi Harbour,Western,BR031,82,1851,20,2000,3535,1301506.56,1297530.93,3.1,
2025-11-30,ATM-030,Tarkwa,Western,BR032,63,2180,20,5000,3629,1117272.90,1111838.41,11.4,
2025-11-30,ATM-031,Sekondi,Western,BR033,56,928,20,2000,1557,704663.38,702728.91,15.2,
2025-11-30,ATM-032,Cape Coast — UCC Campus,Central,BR035,32,1925,50,5000,3611,1492766.93,1484006.39,3.7,
2025-11-30,ATM-033,Cape Coast Kotokuraba,Central,BR036,73,2466,20,3000,3630,1497912.82,1490067.63,6.4,
2025-11-30,ATM-034,Koforidua,Eastern,BR040,99,2202,10,2000,3307,1281880.40,1270077.14,12.9,
2025-11-30,ATM-035,Nkawkaw,Eastern,BR041,44,983,50,1000,1609,661489.74,660193.62,4.6,
2025-11-30,ATM-036,Akosombo,Eastern,BR042,51,923,50,1000,1559,565281.97,564491.95,2.0,
2025-11-30,ATM-037,Ho,Volta,BR045,66,2262,20,2000,4104,2003991.55,1993213.91,0.0,
2025-11-30,ATM-038,Aflao Border,Volta,BR046,57,884,10,2000,1446,494668.50,493325.11,11.1,
2025-11-30,ATM-039,Tamale Central,Northern,BR050,54,1828,20,2000,4070,1629492.09,1623776.18,10.2,
2025-11-30,ATM-040,Tamale — UDS Campus,Northern,BR051,39,2118,20,2000,3323,1373282.71,1365295.68,5.9,
2025-11-30,ATM-041,Sunyani,Bono,BR055,77,1934,50,5000,3943,2025049.60,2009412.90,6.9,
2025-11-30,ATM-042,Techiman Market,Bono East,BR056,82,2234,20,2000,3905,1366773.43,1346641.12,5.8,
2025-11-30,ATM-043,Bolgatanga,Upper East,BR060,40,963,20,2000,1508,590867.48,583600.16,11.0,
2025-11-30,ATM-044,Wa,Upper West,BR065,29,792,50,1000,1452,643918.02,637829.88,0.0,
